t_s,ax_g,ay_g,az_g,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,in_gates
2221.65,0.00390625,-0.00195312,0.995605,0,0,0,0
2221.66,0.00341797,0.00537109,1.00537,0.0610352,-0.0610352,0,0
2221.67,0.00927734,0.00732422,0.996094,-0.0610352,0,0,0
2221.68,0.0126953,-0.00683594,0.995117,0,-0.12207,0,0
2221.69,0.00830078,4.882812e-04,1.00342,0,-0.0610352,0,0
2221.7,0.0112305,0.00585938,0.996582,0,0,0,0
2221.71,0.00878906,0.00488281,1.00293,0,0.0610352,0,0
2221.72,0.00732422,-9.765625e-04,0.998535,0,-0.0610352,0,0
2221.73,0.00830078,0.00439453,1.00391,-0.0610352,-0.12207,0,0
2221.74,0.00585938,-0.00146484,1.00098,0,0,0,0
2221.75,0.0107422,0.00292969,1.00098,0,0,0,0
2221.76,0.00732422,0,0.99707,-0.0610352,0.0610352,0,0
2221.77,0.00976562,-4.882812e-04,1.00049,0,-0.12207,0,0
2221.78,0.00976562,0.0102539,1.00488,0,0,0,0
2221.79,0.00585938,-0.00585938,0.998047,0,-0.0610352,0,0
2221.8,0.0102539,-0.00146484,1.00195,0,0,0,0
2221.81,0.0102539,0.00244141,0.990234,0,0.12207,0,0
2221.82,0.00634766,-0.00537109,1.00195,-0.12207,-0.0610352,0,0
2221.83,0.00390625,0.00488281,1.00537,-0.0610352,0,0,0
2221.84,0.00390625,0.00195312,0.996582,0,0,0,0
2221.85,0.00439453,-9.765625e-04,1.00684,0,0,0,0
2221.86,0.00830078,-0.00292969,0.991211,-0.0610352,0,0,0
2221.86,0.00634766,-0.00292969,0.997559,0,-0.0610352,0,0
2221.87,0,0.00439453,1.00586,0,0,0,0
2221.88,0.00195312,9.765625e-04,0.996094,0,0,0,0
2221.89,0.00439453,-0.00146484,1.00391,-0.0610352,0,0,0
2221.9,0.00488281,-0.00585938,0.993164,0,0,0,0
2221.91,0.00683594,0,1.00049,0,-0.0610352,0,0
2221.92,0.00390625,4.882812e-04,1.00098,0,0,0,0
2221.93,0.00292969,-0.00585938,0.995117,0,-0.0610352,0,0
2221.94,0.00341797,0.00195312,1.0083,0,0,0,0
2221.95,0.00976562,-0.00341797,0.990723,0,0.0610352,0,0
2221.96,0.00683594,-9.765625e-04,1.00537,0,-0.0610352,0,0
2221.97,0.00390625,0.00244141,1.00488,0.0610352,-0.0610352,0,0
2221.98,0.00292969,0.00292969,0.993164,0,-0.0610352,0,0
2221.99,0.00341797,0.00585938,1.00928,0.0610352,0,0,0
2222,0.00830078,0.00146484,0.996094,0.0610352,0,0,0
2222.01,0.00732422,0.00683594,1.00049,0.0610352,-0.0610352,0,0
2222.02,0.00537109,0.00439453,1.00391,0,-0.0610352,0,0
2222.03,0.00634766,0.00292969,0.993652,0.0610352,-0.0610352,0,0
2222.04,0.00585938,0.00927734,1.00293,0,0,0,0
2222.05,0.00878906,0.00244141,0.988281,0,0,0,0
2222.06,0.00634766,0.0078125,1.00146,0,0,0,0
2222.07,0.00292969,0.0078125,1.00293,-0.0610352,0,0,0
2222.08,0.00585938,0.00585938,0.993164,-0.0610352,-0.12207,0,0
2222.09,0.00830078,0.00927734,1.00244,-0.0610352,0,0,0
2222.1,0.00976562,-0.00244141,0.992676,-0.12207,0,0,0
2222.11,0.00927734,0.00488281,1.00146,-0.12207,-0.0610352,0,0
2222.12,0.00341797,0.00341797,1.00146,0,0,0,0
2222.12,0.00488281,0,1,0,0,0,0
2222.13,0.00878906,9.765625e-04,1.00684,0,0,0,0
2222.14,0.012207,-0.00732422,0.992676,0,0,0,0
2222.15,0.0141602,9.765625e-04,1.00732,0,0,0,0
2222.16,0.0200195,-0.00585938,1.00439,0,0,0,0
2222.17,0.0258789,-4.882812e-04,1.00293,0,0,0,0
2222.18,0.0302734,-0.00585938,1.01123,0,0,0,0
2222.19,0.0341797,-0.0146484,0.996094,0,0,0,0
2222.2,0.0375977,0.00439453,1.01025,0,0,0,0
2222.21,0.0576172,-0.00732422,1.00439,0,0,0,0
2222.22,0.100586,-0.012207,0.990234,0.12207,-0.244141,0,0
2222.23,0.166504,0.00195312,1.01025,0.0610352,-0.427246,0,0
2222.24,0.246094,-0.0229492,0.992188,0.0610352,-0.732422,0,0
2222.25,0.270508,-0.00585938,1.00244,0.12207,-1.0376,0.305176,0
2222.26,0.291504,0.00195312,1.00195,-0.183105,-1.34277,0.0610352,0
2222.27,0.300293,-0.00585938,0.996094,-0.12207,-1.70898,0.183105,0
2222.28,0.342285,-9.765625e-04,1.02051,0,-1.89209,0.244141,0
2222.29,0.40918,-0.00732422,1.04688,0,-2.62451,0.305176,0
2222.3,0.495605,-0.00976562,1.04395,-0.12207,-3.11279,0.305176,0
2222.31,0.594238,-0.027832,1.03174,-0.0610352,-3.60107,0.366211,0
2222.32,0.731445,-0.00244141,0.999023,0,-4.15039,0.488281,0
2222.33,0.888672,-0.0205078,0.993164,-0.305176,-4.63867,0.366211,0
2222.34,0.997559,-0.0131836,0.981934,-0.0610352,-5.00488,0.366211,0
2222.35,0.916992,0.0712891,1.00439,-0.305176,-5.5542,0.549316,0
2222.36,0.814453,4.882812e-04,1.31689,-1.70898,-6.65283,0.183105,0
2222.37,0.839844,0.0327148,0.986816,-0.854492,-6.89697,0.732422,0
2222.38,0.912109,-0.0229492,1.00732,-1.58691,-7.38525,0.305176,0
2222.39,0.89502,-0.130371,1.05225,-0.244141,-7.50732,0.305176,0
2222.4,0.833984,-0.00488281,1.03516,0.671387,-7.14111,0.12207,0
2222.4,0.834473,0.0795898,0.943359,-0.976562,-6.5918,-0.12207,0
2222.41,0.957031,-0.0576172,0.868652,-1.34277,-5.67627,-0.244141,0
2222.42,0.959473,-0.0292969,0.981934,-0.12207,-4.82178,-0.366211,0
2222.43,0.917969,0.0327148,1.00293,-0.0610352,-4.27246,-0.610352,0
2222.44,0.868652,-0.0219727,1.02881,-0.12207,-3.84521,-0.854492,0
2222.45,0.907227,-0.0263672,1.0332,0.366211,-3.2959,-0.793457,0
2222.46,1.01758,-0.0102539,1.03369,0.0610352,-2.68555,-0.915527,0
2222.47,1.02344,-0.11377,1.0249,-0.0610352,-2.38037,-0.976562,0
2222.48,0.998047,-0.0473633,0.950195,0,-1.70898,-0.976562,0
2222.49,1.01367,-0.0175781,0.914062,-1.34277,-0.854492,-1.0376,0
2222.5,0.995605,-0.153809,1.00635,-1.52588,-0.183105,-1.0376,0
2222.51,0.998535,-0.03125,0.998047,-0.732422,0.366211,-0.915527,0
2222.52,0.940918,0.0297852,0.978516,-1.83105,0.549316,-0.915527,0
2222.53,0.914551,-0.123535,1.03906,-1.89209,0.793457,-1.0376,0
2222.54,0.932129,-0.034668,1.02881,-0.732422,0.854492,-1.28174,0
2222.55,0.973633,0.0112305,1.0415,-1.15967,0.671387,-1.52588,0
2222.56,1.01807,-0.165039,1.07471,-0.732422,0.305176,-1.70898,0
2222.57,1.01807,-0.0600586,1.07031,0.366211,0,-1.70898,0
2222.58,1.00977,-0.0288086,1.0127,-0.793457,-0.183105,-2.13623,0
2222.59,1.02588,-0.175781,1.05029,-0.427246,-0.549316,-2.50244,0
2222.6,1.00244,-0.00830078,1.09473,0.427246,-0.732422,-2.62451,0
2222.61,1.01562,-0.0625,1.09961,-0.854492,-1.0376,-2.74658,0
2222.62,0.969727,-0.195312,1.08252,-0.183105,-1.28174,-2.86865,0
2222.63,0.913086,-0.0405273,1.06934,-0.0610352,-1.40381,-3.23486,0
2222.64,0.880371,-0.139648,1.08594,-0.976562,-1.40381,-3.78418,0
2222.65,0.880859,-0.136719,1.09619,-0.305176,-1.58691,-4.21143,0
2222.66,0.882812,-0.0473633,1.08496,-0.854492,-1.46484,-4.45557,0
2222.67,0.890137,-0.191406,1.08789,-0.976562,-1.46484,-4.69971,0
2222.68,0.904785,-0.0869141,1.06055,-0.488281,-1.46484,-4.94385,0
2222.69,0.917969,-0.0712891,1.05273,-1.46484,-1.34277,-5.37109,0
2222.7,0.89502,-0.192871,1.06543,-1.34277,-1.09863,-5.67627,0
2222.71,0.874512,-0.0600586,1.05029,-1.2207,-1.0376,-5.98145,0
2222.72,0.873047,-0.121582,1.04834,-1.95312,-0.793457,-6.22559,0
2222.73,0.889648,-0.189453,1.06348,-1.0376,-0.671387,-6.53076,0
2222.74,0.871582,-0.0537109,1.01904,-0.854492,-0.549316,-6.71387,0
