run,pasm_mode,t_s,a_lat_kin_g,roll_angle_deg
1,Normal,637.135,0.943014,-1.73499
1,Normal,638.655,-0.627077,-4.35108
1,Normal,638.695,-0.62815,-5.56363
1,Normal,638.735,-0.623492,-5.57176
1,Normal,638.775,-0.618904,-4.05767
1,Normal,638.815,-0.616283,-1.74439
1,Normal,638.855,-0.616805,-0.376485
1,Normal,638.895,-0.616269,-0.89482
1,Normal,638.935,-0.61268,-2.38976
1,Normal,638.975,-0.604899,-4.24645
1,Normal,639.015,-0.59742,-5.85638
1,Normal,639.055,-0.593455,-6.51263
1,Normal,639.095,-0.595533,-6.17165
1,Normal,639.655,-0.903617,2.06843
1,Normal,639.695,-0.905889,0.508251
1,Normal,639.735,-0.899251,-1.46883
1,Normal,639.935,-0.834794,-1.44343
1,Normal,639.975,-0.831535,-0.793008
1,Normal,640.015,-0.834261,-0.952347
1,Normal,640.055,-0.841252,-1.46877
1,Normal,640.095,-0.846794,-2.35446
1,Normal,640.135,-0.845537,-3.52211
1,Normal,640.495,-0.688853,-8.29426
1,Normal,640.535,-0.67829,-8.26974
1,Normal,640.575,-0.671825,-8.81958
1,Normal,640.615,-0.668769,-9.6752
1,Normal,640.655,-0.671333,-10.3232
1,Normal,640.695,-0.678644,-10.2045
1,Normal,640.735,-0.688081,-9.01879
1,Normal,640.775,-0.693873,-7.2613
1,Normal,640.815,-0.689936,-5.51005
1,Normal,641.895,-0.692645,-1.20956
1,Normal,641.935,-0.692247,-1.76229
1,Normal,641.975,-0.687222,-2.20732
1,Normal,642.015,-0.680834,-2.07892
1,Normal,642.055,-0.677578,-1.32695
1,Normal,642.095,-0.677852,-0.308953
1,Normal,642.135,-0.680016,-0.0423585
1,Normal,642.175,-0.682624,-0.93928
1,Normal,642.215,-0.6849,-2.57781
1,Normal,642.255,-0.687906,-3.80891
1,Normal,642.295,-0.690236,-4.43431
1,Normal,642.335,-0.692745,-4.56247
1,Normal,642.375,-0.697384,-4.28944
1,Normal,642.415,-0.702145,-4.1603
1,Normal,642.455,-0.708939,-4.40853
